M0001,2020-05-06,T0001,T0006,5,4
M0002,2020-05-07,T0002,T0005,0,1
M0003,2020-05-09,T0003,T0004,2,3
M0004,2020-05-10,T0004,T0003,1,2
M0005,2020-05-11,T0005,T0002,2,1
M0006,2020-05-15,T0006,T0001,5,0
M0007,2020-05-17,T0001,T0005,5,5
M0008,2020-05-19,T0002,T0006,0,0
M0009,2020-05-21,T0003,T0001,4,4
M0010,2020-05-20,T0004,T0002,1,1
M0011,2020-05-21,T0004,T0003,2,1
M0012,2020-05-22,T0003,T0004,1,2
M0013,2020-05-23,T0004,T0001,4,3
M0014,2020-05-24,T0004,T0002,1,2
M0015,2020-05-25,T0003,T0001,3,2
M0016,2020-05-26,T0001,T0002,1,2
